invoice_id,vendor,invoice_date,due_date,currency,amount,po_number,status
INV-1001,ACME Logistics,2026-05-01,2026-05-30,USD,1250.00,PO-8891,open
INV-1002,Grupo Norte SA,2026-05-03,2026-06-02,USD,980.50,PO-8892,open
INV-1003,Blue Ocean Supplies,2026-05-04,2026-06-04,USD,4300.00,PO-8893,open
INV-1004,ACME Logistics LLC,2026-05-08,2026-06-08,USD,700.00,PO-8894,open
INV-1005,Delta Tech Services,2026-05-10,2026-06-10,USD,1500.00,PO-8895,open
INV-1006,Northwind Foods,2026-05-11,2026-06-11,MXN,2200.00,PO-8896,open
INV-1007,Prime Retail Ops,2026-05-12,2026-06-12,USD,750.00,PO-8897,open
INV-1008,Nova Packaging,2026-05-14,2026-06-14,USD,1200.00,PO-8898,open
INV-1009,Summit Industrial,2026-05-15,2026-06-14,USD,5200.00,PO-8899,open
INV-1010,Greenfield Materials,2026-05-16,2026-06-15,USD,3375.25,PO-8900,open
INV-1011,Orion Freight,2026-05-17,2026-06-16,USD,890.00,PO-8901,open
INV-1012,Pinnacle Office Co,2026-05-18,2026-06-17,USD,1125.75,PO-8902,open
INV-1013,Cedar & Co Consulting,2026-05-19,2026-06-18,USD,4500.00,PO-8903,open
INV-1014,Atlas Manufacturing,2026-05-20,2026-06-19,USD,7800.00,PO-8904,open
INV-1015,Riverside Utilities,2026-05-20,2026-06-04,USD,415.30,PO-8905,open
INV-1016,Grupo Norte SA,2026-05-21,2026-06-20,USD,2310.00,PO-8906,open
INV-1017,Vertex Software Inc,2026-05-22,2026-06-21,USD,9900.00,PO-8907,open
INV-1018,Maple Logistics,2026-05-22,2026-06-21,CAD,1860.00,PO-8908,open
INV-1019,Silver Lining Cleaning,2026-05-23,2026-06-22,USD,540.00,PO-8909,open
INV-1020,Delta Tech Services,2026-05-24,2026-06-23,USD,2250.00,PO-8910,open
INV-1021,Harbor Point Imports,2026-05-24,2026-06-08,EUR,3100.00,PO-8911,open
INV-1022,Northwind Foods,2026-05-25,2026-06-24,MXN,5400.00,PO-8912,open
INV-1023,Quantum Analytics,2026-05-26,2026-06-25,USD,6250.00,PO-8913,open
INV-1024,Bright Path Marketing,2026-05-26,2026-06-25,USD,1800.00,PO-8914,open
INV-1025,ACME Logistics,2026-05-27,2026-06-26,USD,1450.00,PO-8915,open
INV-1026,Stonebridge Legal,2026-05-27,2026-06-26,USD,3200.00,PO-8916,open
INV-1027,Evergreen Packaging,2026-05-28,2026-06-27,USD,975.00,PO-8917,open
INV-1028,Falcon Security Group,2026-05-28,2026-06-27,USD,2640.00,PO-8918,open
INV-1029,Lakeside Catering,2026-05-29,2026-06-13,USD,860.45,PO-8919,open
INV-1030,Vertex Software Inc,2026-05-29,2026-06-28,USD,4950.00,PO-8920,open
INV-1031,Summit Industrial,2026-05-30,2026-06-29,USD,5200.00,PO-8921,open
INV-1032,Pioneer Electric,2026-05-30,2026-06-29,USD,3720.00,PO-8922,open
INV-1033,Coral Bay Hotels,2026-05-31,2026-06-30,USD,1290.00,PO-8923,open
INV-1034,Grupo Sur SA,2026-05-31,2026-06-30,MXN,8900.00,PO-8924,open
INV-1035,Nova Packaging,2026-06-01,2026-07-01,USD,1200.00,PO-8925,open
INV-1036,Titan Steelworks,2026-06-01,2026-07-01,USD,11250.00,PO-8926,open
INV-1037,Sunrise Media,2026-06-02,2026-07-02,USD,2100.00,PO-8927,open
INV-1038,Blue Ocean Supplies,2026-06-02,2026-07-02,USD,1560.00,PO-8928,open
INV-1039,Heritage Printing,2026-06-03,2026-07-03,USD,430.00,PO-8929,open
INV-1040,Pinnacle Office Co,2026-06-03,2026-07-03,USD,2480.50,PO-8930,open
